title,type,status,priority,sprint,claude,module,language,note,body_len,has_deps
[FEA] Expose batched individual state top-K ranking for small and medium segment sizes (<=1M) in data module pub/sub pipeline,FEA,In Progress,P3,Current,Claude-E,data,Mixed,,736,0
[FEA] Prepare prioritized scheduling matrix of individual tick-loop algorithms requiring hierarchical croutine decomposition,FEA,In Progress,P3,Current,Claude-C,scheduler,Mixed,,760,0
[EPIC] Design API for hierarchical individual decomposition: parent component spawning child sub-individuals with inherited state and scoped pub/sub channels,EPIC,In Progress,P3,Current,Claude-D,component,Mixed,,775,0
[FEA] Integrate high-throughput batched individual state inference queries into RTPS transport layer via streaming pub/sub channel adapter,FEA,Needs Triage,P3,Current,Claude-C,transport,Mixed,TECH-MEMO: 推理查询集成是扩展功能，不是核心世界模型需求,7199,1
[FEA] Add adjacent individual state delta computation with dual-source iterator overloads (SubtractLeft and SubtractRight) in data module,FEA,In Progress,P3,Current,Claude-B,data,Mixed,,748,0
[FEA] Add croutine::experimental::thread_group cooperative primitives for synchronized multi-individual tick-loop barrier execution,FEA,In Progress,P3,Current,Claude-E,croutine,Mixed,,724,0
[WIP] Implement batched individual state warp-reduction benchmark suite and performance baselines in statistics module,Task,In Progress,P3,Current,Claude-D,statistics,Mixed,,705,0
[FEA] Add scheduler tick-loop scan croutine tuning policies for SM120-class embedded individual processors in pub/sub-loop world,FEA,In Progress,P3,Current,Claude-D,scheduler,Mixed,,764,0
[FEA] Mark message::ComplexState<T> member accessors constexpr where safe for zero-overhead compile-time individual state field initialization,FEA,In Progress,P3,Current,Claude-D,message,Mixed,,746,0
[FEA] Add AI-assisted tools module workflow for automated world model PR review: detect individual interaction regressions and pub/sub channel contract violations,FEA,In Progress,P3,Current,Claude-E,tools,Mixed,,801,0
